candidate_id,brand_id,name_en,name_zh,domain,similar_group,industry,source_type,source_name,source_url,license,license_url,raw_file,webp_file,original_format,width,height,file_size_bytes,is_wordmark,has_visible_text,quality_score,match_confidence,review_status,notes
svglogo_byd_automotive_byd,byd,BYD,比亚迪,byd.com,ev_cars,汽车交通,svglogo,HeyHuazi/SVGLOGO,https://www.byd.com/cn,unknown,,assets/_raw/svglogo/automotive/byd.svg,assets/_candidates/svglogo/automotive/automotive_byd.webp,svg,,,15750,false,unknown,90,high,pending,
svglogo_nio_automotive_nio,nio,NIO,蔚来,nio.com,ev_cars,汽车交通,svglogo,HeyHuazi/SVGLOGO,https://www.nio.cn/,unknown,,assets/_raw/svglogo/automotive/Nio.svg,assets/_candidates/svglogo/automotive/automotive_nio.webp,svg,,,5400,false,unknown,90,high,pending,
svglogo_huawei_company_huawei,huawei,Huawei,华为,huawei.com,mobile_device,科技互联网,svglogo,HeyHuazi/SVGLOGO,https://www.huawei.com/cn/,unknown,,assets/_raw/svglogo/company/huawei.svg,assets/_candidates/svglogo/company/company_huawei.webp,svg,,,14688,false,unknown,90,high,pending,
svglogo_huawei_company_huawei_wordmark,huawei,Huawei,华为,huawei.com,mobile_device,科技互联网,svglogo,HeyHuazi/SVGLOGO,https://www.huawei.com/cn/,unknown,,assets/_raw/svglogo/company/huawei_wordmark.svg,assets/_candidates/svglogo/company/company_huawei_wordmark.webp,svg,,,4394,true,unknown,60,high,pending,
svglogo_xiaomi_company_xiaomi,xiaomi,Xiaomi,小米,mi.com,mobile_device,科技互联网,svglogo,HeyHuazi/SVGLOGO,https://www.mi.com/,unknown,,assets/_raw/svglogo/company/xiaomi.svg,assets/_candidates/svglogo/company/company_xiaomi.webp,svg,,,7116,false,unknown,90,high,pending,
svglogo_microsoft_tools_word,microsoft,Microsoft,微软,microsoft.com,tech_platforms,科技互联网,svglogo,HeyHuazi/SVGLOGO,https://www.microsoft.com/zh-cn/microsoft-365/word,unknown,,assets/_raw/svglogo/tools/word.svg,assets/_candidates/svglogo/tools/tools_word.webp,svg,,,4866,false,unknown,90,high,pending,
svglogo_microsoft_tools_ppt,microsoft,Microsoft,微软,microsoft.com,tech_platforms,科技互联网,svglogo,HeyHuazi/SVGLOGO,https://www.microsoft.com/zh-cn/microsoft-365/powerpoint,unknown,,assets/_raw/svglogo/tools/ppt.svg,assets/_candidates/svglogo/tools/tools_ppt.webp,svg,,,5800,false,unknown,60,high,pending,
svglogo_microsoft_tools_outlook,microsoft,Microsoft,微软,microsoft.com,tech_platforms,科技互联网,svglogo,HeyHuazi/SVGLOGO,https://www.microsoft.com/zh-cn/microsoft-365/outlook/email-and-calendar-software-microsoft-outlook,unknown,,assets/_raw/svglogo/tools/outlook.svg,assets/_candidates/svglogo/tools/tools_outlook.webp,svg,,,5786,false,unknown,60,high,pending,
svglogo_microsoft_tools_excel,microsoft,Microsoft,微软,microsoft.com,tech_platforms,科技互联网,svglogo,HeyHuazi/SVGLOGO,https://www.microsoft.com/zh-cn/microsoft-365/excel,unknown,,assets/_raw/svglogo/tools/excel.svg,assets/_candidates/svglogo/tools/tools_excel.webp,svg,,,4042,false,unknown,60,high,pending,
svglogo_microsoft_tools_onenote,microsoft,Microsoft,微软,microsoft.com,tech_platforms,科技互联网,svglogo,HeyHuazi/SVGLOGO,https://www.microsoft.com/zh-cn/microsoft-365/onenote/digital-note-taking-app,unknown,,assets/_raw/svglogo/tools/OneNote.svg,assets/_candidates/svglogo/tools/tools_onenote.webp,svg,,,4034,false,unknown,60,high,pending,
svglogo_microsoft_tools_microsoftteams,microsoft,Microsoft,微软,microsoft.com,tech_platforms,科技互联网,svglogo,HeyHuazi/SVGLOGO,https://www.microsoft.com/zh-cn/microsoft-365/microsoft-teams/group-chat-software,unknown,,assets/_raw/svglogo/tools/MicrosoftTeams.svg,assets/_candidates/svglogo/tools/tools_microsoftteams.webp,svg,,,9118,false,unknown,60,high,pending,
svglogo_tiktok_social_tiktok,tiktok,TikTok,TikTok,tiktok.com,social_global,文化媒体,svglogo,HeyHuazi/SVGLOGO,https://www.TikTok.cn/,unknown,,assets/_raw/svglogo/social/Tiktok.svg,assets/_candidates/svglogo/social/social_tiktok.webp,svg,,,10592,false,unknown,90,high,pending,
svglogo_wechat_social_weixin,wechat,WeChat,微信,wechat.com,social_china,文化媒体,svglogo,HeyHuazi/SVGLOGO,https://weixin.qq.com/,unknown,,assets/_raw/svglogo/social/weiXin.svg,assets/_candidates/svglogo/social/social_weixin.webp,svg,,,6172,false,unknown,90,high,pending,
svglogo_qq_social_qq,qq,QQ,QQ,qq.com,social_china,文化媒体,svglogo,HeyHuazi/SVGLOGO,https://im.qq.com/,unknown,,assets/_raw/svglogo/social/QQ.svg,assets/_candidates/svglogo/social/social_qq.webp,svg,,,8992,false,unknown,90,high,pending,
svglogo_douyin_social_douyin,douyin,Douyin,抖音,douyin.com,social_china,文化媒体,svglogo,HeyHuazi/SVGLOGO,https://douyin.com/,unknown,,assets/_raw/svglogo/social/douYin.svg,assets/_candidates/svglogo/social/social_douyin.webp,svg,,,4872,false,unknown,90,high,pending,
svglogo_xiaohongshu_social_xiaohongshu,xiaohongshu,Xiaohongshu,小红书,xiaohongshu.com,social_china,文化媒体,svglogo,HeyHuazi/SVGLOGO,https://xiaohongshu.com/,unknown,,assets/_raw/svglogo/social/xiaoHongShu.svg,assets/_candidates/svglogo/social/social_xiaohongshu.webp,svg,,,3852,false,unknown,90,high,pending,
svglogo_xiaohongshu_social_xiaohongshu_wordmark,xiaohongshu,Xiaohongshu,小红书,xiaohongshu.com,social_china,文化媒体,svglogo,HeyHuazi/SVGLOGO,https://xiaohongshu.com/,unknown,,assets/_raw/svglogo/social/xiaoHongShu_wordmark.svg,assets/_candidates/svglogo/social/social_xiaohongshu_wordmark.webp,svg,,,5856,true,unknown,60,high,pending,
svglogo_bilibili_social_bilibili,bilibili,Bilibili,哔哩哔哩,bilibili.com,video_platforms,文化媒体,svglogo,HeyHuazi/SVGLOGO,https://bilibili.com/,unknown,,assets/_raw/svglogo/social/bilibili.svg,assets/_candidates/svglogo/social/social_bilibili.webp,svg,,,5464,false,unknown,90,high,pending,
svglogo_alipay_pay_zhifubao,alipay,Alipay,支付宝,alipay.com,payment_wallets,金融商业,svglogo,HeyHuazi/SVGLOGO,https://www.alipay.com/,unknown,,assets/_raw/svglogo/pay/zhifubao.svg,assets/_candidates/svglogo/pay/pay_zhifubao.webp,svg,,,10504,false,unknown,90,high,pending,
svglogo_alipay_pay_huabei,alipay,Alipay,支付宝,alipay.com,payment_wallets,金融商业,svglogo,HeyHuazi/SVGLOGO,https://www.alipay.com/,unknown,,assets/_raw/svglogo/pay/huabei.svg,assets/_candidates/svglogo/pay/pay_huabei.webp,svg,,,8466,false,unknown,60,high,pending,
svglogo_alipay_pay_huabei_wordmark,alipay,Alipay,支付宝,alipay.com,payment_wallets,金融商业,svglogo,HeyHuazi/SVGLOGO,https://www.alipay.com/,unknown,,assets/_raw/svglogo/pay/huabei_wordmark.svg,assets/_candidates/svglogo/pay/pay_huabei_wordmark.webp,svg,,,5896,true,unknown,60,high,pending,
svglogo_wechat_pay_pay_weixinpay,wechat_pay,WeChat Pay,微信支付,pay.weixin.qq.com,payment_wallets,金融商业,svglogo,HeyHuazi/SVGLOGO,https://pay.weixin.qq.com/,unknown,,assets/_raw/svglogo/pay/weixinpay.svg,assets/_candidates/svglogo/pay/pay_weixinpay.webp,svg,,,8320,false,unknown,90,high,pending,
svglogo_bank_of_china_pay_boc,bank_of_china,Bank of China,中国银行,boc.cn,bank_china,金融商业,svglogo,HeyHuazi/SVGLOGO,https://www.boc.cn/,unknown,,assets/_raw/svglogo/pay/BOC.svg,assets/_candidates/svglogo/pay/pay_boc.webp,svg,,,7040,false,unknown,90,high,pending,
svglogo_bank_of_china_pay_boc_wordmark,bank_of_china,Bank of China,中国银行,boc.cn,bank_china,金融商业,svglogo,HeyHuazi/SVGLOGO,https://www.boc.cn/,unknown,,assets/_raw/svglogo/pay/BOC_wordmark.svg,assets/_candidates/svglogo/pay/pay_boc_wordmark.webp,svg,,,8898,true,unknown,60,high,pending,
svglogo_icbc_pay_icbc,icbc,ICBC,中国工商银行,icbc.com.cn,bank_china,金融商业,svglogo,HeyHuazi/SVGLOGO,https://www.icbc.com.cn/,unknown,,assets/_raw/svglogo/pay/ICBC.svg,assets/_candidates/svglogo/pay/pay_icbc.webp,svg,,,7096,false,unknown,90,high,pending,
